#id  name      redshift  valid  full_name         xray_selected  manual_center_x  manual_center_y
 0   a1423     0.213     1      "Abell 1423"      1              111              109
 1   a209      0.206     1      "Abell 209"       1              115              113
 2   a2261     0.224     1      "Abell 2261"      1              120              107
 3   a383      0.187     1      "Abell 383"       1              104              114
 4   a611      0.288     0      "Abell 611"       1              -99              -99
 5   clj1226   0.890     0      "CLJ1226+3332"    1              -99              -99
 6   macs0329  0.450     1      "MACSJ0329-02"    1              113              103
 7   macs0416  0.396     1      "MACSJ0416-24"    0              101              101
 8   macs0429  0.399     1      "MACSJ0429-02"    1              108              105
 9   macs0647  0.584     1      "MACSJ0647+70"    0              111              100
 10  macs0717  0.548     0      "MACSJ0717+37"    0              -99              -99
 11  macs0744  0.686     0      "MACSJ0744+39"    1              -99              -99
 12  macs1115  0.352     1      "MACSJ1115+01"    1              111              109
 13  macs1149  0.544     1      "MACSJ1149+22"    0              112              108
 14  macs1206  0.440     1      "MACSJ1206-08"    1              107              102
 15  macs1311  0.494     1      "MACSJ1311-03"    1              113              106
 16  macs1423  0.545     0      "MACSJ1423+24"    1              -99              -99
 17  macs1720  0.391     1      "MACSJ1720+35"    1              120              108
 18  macs1931  0.352     1      "MACSJ1931-26"    1              115              108
 19  macs2129  0.570     1      "MACSJ2129-07"    0              116              107
 20  ms2137    0.313     1      "MS 2137.3-2353"  1              111              108
 21  rxj1347   0.451     1      "RXJ1347-1145"    1              118              107
 22  rxj1532   0.345     1      "RXJ1532.9+3021"  1              114              117
 23  rxj2129   0.234     1      "RXJ2129+0005"    1              115              113
 24  rxj2248   0.348     1      "RXJ2248-4431"    1              107              113
